7-EBAP-ANA-SB-DI-ILP,TABLERO DE DISTRIBUCION TABLERO DE ILUMINACION,VFP,6-EBAP-ANA-SB-DI
7-EBAP-ANA-SB-DI-LCP,TABLERO DE CONTROL TABLERO DE CONTROL/FUERZA,VFP,6-EBAP-ANA-SB-DI
7-EBAP-ANA-SB-DI-MCC,CENTRO DE CARGA,VFP,6-EBAP-ANA-SB-DI
7-EBAP-ANA-SB-DI-MPE,MEDIDOR DE PARAMETROS ELECTRICOS 1 MEDIDOR DE PARAMETROS ELECTRICOS,VFP,6-EBAP-ANA-SB-DI
7-EBAP-ANA-SB-DI-PWP,TABLERO DE FUERZA,VFP,6-EBAP-ANA-SB-DI
6-EBAP-ANA-SB-IL,SISTEMA DE ILUMINACION,P,5-EBAP-ANA-SB
7-EBAP-ANA-SB-IL-ILU,ILUMINACION INTERNA SISTEMA DE ILUMINACION,VFP,6-EBAP-ANA-SB-IL
6-EBAP-ANA-SB-IN,SISTEMA DE INSTRUMENTACION Y CONTROL,P,5-EBAP-ANA-SB
7-EBAP-ANA-SB-IN-PLC,PLC,VFP,6-EBAP-ANA-SB-IN
6-EBAP-ANA-SB-MT,MEDIA TENSION,P,5-EBAP-ANA-SB
7-EBAP-ANA-SB-MT-TRF,BANCO DE TRANSFORMADORES TRIFASICO SISTEMA DE TRANSFORMACION PRINCIPAL,VFP,6-EBAP-ANA-SB-MT
6-EBAP-ANA-SB-TM,TELEMETRIA,P,5-EBAP-ANA-SB
7-EBAP-ANA-SB-TM-RDO,RADIO,VFP,6-EBAP-ANA-SB-TM
4-EBAP-BAC,ESTACION DE BOMBEO AAPP BOOSTER DEL CARMEN,P,-
5-EBAP-BAC-AL,ALMACENAMIENTO,P,4-EBAP-BAC
6-EBAP-BAC-AL-BT,BAJA TENSION,P,5-EBAP-BAC-AL
7-EBAP-BAC-AL-BT-LIT,ELECTRONICA REMOTA DE NIVEL T1 SENSOR DE NIVEL,VFP,6-EBAP-BAC-AL-BT
5-EBAP-BAC-IF,INFRAESTRUCTURA,P,4-EBAP-BAC
6-EBAP-BAC-IF-ES,ESTRUCTURA,P,5-EBAP-BAC-IF
7-EBAP-BAC-IF-ES-INF,None ESTRUCTURAS DE LA ESTACION,VFP,6-EBAP-BAC-IF-ES
5-EBAP-BAC-SB,SISTEMA DE BOMBEO,P,4-EBAP-BAC
6-EBAP-BAC-SB-BM,BOMBEO,P,5-EBAP-BAC-SB
7-EBAP-BAC-SB-BM-GB1,MOTOR DE BOMBA 1 GRUPO 1,VFP,6-EBAP-BAC-SB-BM
7-EBAP-BAC-SB-BM-GB2,VARIADOR DE FRECUENCIA 2 GRUPO 2,VFP,6-EBAP-BAC-SB-BM
6-EBAP-BAC-SB-DI,SISTEMA DE DISTRIBUCION,P,5-EBAP-BAC-SB
7-EBAP-BAC-SB-DI-MCC,CENTRO DE CARGA,VFP,6-EBAP-BAC-SB-DI
7-EBAP-BAC-SB-DI-MPE,MEDIDOR DE PARAMETROS ELECTRICOS,VFP,6-EBAP-BAC-SB-DI
7-EBAP-BAC-SB-DI-PWP,TABLERO PRINCIPAL TABLERO DE FUERZA,VFP,6-EBAP-BAC-SB-DI
6-EBAP-BAC-SB-IL,SISTEMA DE ILUMINACION,P,5-EBAP-BAC-SB
7-EBAP-BAC-SB-IL-ILE,ILUMINACION EXTERNA,VFP,6-EBAP-BAC-SB-IL
7-EBAP-BAC-SB-IL-ILI,ILUMINACION INTERNA,VFP,6-EBAP-BAC-SB-IL
6-EBAP-BAC-SB-IN,SISTEMA DE INSTRUMENTACION Y CONTROL,P,5-EBAP-BAC-SB
7-EBAP-BAC-SB-IN-HMI,HMI,VFP,6-EBAP-BAC-SB-IN
7-EBAP-BAC-SB-IN-LIT,ELECTRONICA REMOTA DE NIVEL T2 SENSOR DE NIVEL,VFP,6-EBAP-BAC-SB-IN
7-EBAP-BAC-SB-IN-RTU,RTU,VFP,6-EBAP-BAC-SB-IN
